"SubjectID","Text","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","mem.age","CDI_coded","cond_p","Study_Code","mem_age","allWC"
15,"The experience I had involved me being approached by a seemingly sweet girl from my congregation. She mentioned that she had hated me for most of her life, because my sisters and I were the ideal family and had the ideal relationship – that her parents wanted to see in her and in her sister. I remember turning red, maybe a bit white too, and having no idea how to respond to the statement. I, a rabbis daughter, and from a family of seven have always felt like I was being watched – as if I was in a social fishbowl. However, I never realized that I was being resented at the same time. I remember walking away from the experience, half in shock + half in tears.",60.43,56.36,38.19,14.68,20.83,18.4,98.4,61.6,17.6,15.2,10.4,0,0,4.8,0,2.4,8.8,15.2,9.6,4,8,1.6,16.8,4.8,3.2,0.8,2.4,1.6,5.6,2.4,3.2,0,1.6,0.8,15.2,4.8,0,8,0,14.4,5.6,1.6,3.2,3.2,1.6,1.6,6.4,3.2,0,0.8,1.6,0,0.8,0,0.8,8.8,6.4,1.6,0,0.8,0,12,1.6,0,9.6,1.6,5.6,2.4,0,1.6,1.6,0,0.8,0,0,0,0,0,0,0,11.2,4.8,5.6,0,0,0,0,0,0,0,0,0.8,51,13.2,1,"SAK",NA,128
28,"in this picture I am in AP History and the lights are off so that everyone can see my Powerpoint presentation. It is a small class, and I think the other students resented the fact that for my presentation I brought a laptop with movies. I knew this and felt uncomfortable about it. As I am speaking to the class, basically reading the presentation I feel like I am stuttering my words and that I look stupid to them. At the end of the presentation everyone claps but it doesn’t seem to me like it went over as well as I wanted it to. My expectations were probably too high and I felt like nobody liked it because it was with a laptop.",39.04,11.14,79.83,7.18,20.5,16.26,97.56,67.48,26.02,13.01,12.2,0,0,0,0.81,13.01,8.13,16.26,7.32,4.88,8.94,1.63,17.89,4.88,4.88,0,0,0,4.88,1.63,3.25,0.81,1.63,0,3.25,0,0,0,0,12.2,4.88,0.81,1.63,1.63,2.44,1.63,8.13,3.25,2.44,2.44,0,0,0,0,0,3.25,0,0,3.25,0,0,7.32,9.76,0.81,8.94,1.63,5.69,1.63,7.32,0.81,0,0,0,0,0.81,0,0,0,0.81,0,7.32,4.88,1.63,0,0,0,0,0,0,0.81,0,0,21,5.6,-1,"SAK",NA,123
30,"I walk back from the bathroom where I just changed into my shorts and t-shirt. I get to the door of the referee’s room at the hockey rink where I put my equipment on an the coaches put their skates on before practice. The door locks automatically, so I knocked the head coach flings the door open and sits back down. In front of me I see the assistant coach, whom I have a crush on, standing there in his underwear. Startled, he jumps behind the wall separating the shower from the rest of the room. I just walk in, sit down, and start to get dressed.",96.85,22.95,99,13.28,18,12.96,87.96,56.48,13.89,12.96,10.19,0,0,1.85,0.93,0.93,13.89,17.59,0.93,7.41,3.7,0,12.96,0.93,0.93,2.78,0,0,0.93,0,0.93,0.93,0,0,3.7,0,0,0,1.85,2.78,0.93,0.93,0,0,0,0.93,0.93,0.93,0,0,1.85,1.85,0,0,0,7.41,0,0.93,4.63,1.85,0,0.93,11.11,0,31.48,5.56,24.07,3.7,1.85,5.56,6.48,0,0,0,0,0,0,0,0,0,12.96,5.56,5.56,0,0,0,0,0.93,0,0.93,0,0,63,35.55,-1,"SAK",NA,107
44,"There were flashing lights, strobe lights to be exact. Many people are dancing to the loud music. At times, smoke would stream out from the smoke machines. Alcoholic drinks are on the table; some people are drinking them and smoking cigarettes. A lot of girls are dancing very closely with guys. A few girls are dancing amongst themselves, no guys with them. One of them later on drinks a lot until she’s sick,",92.84,96.23,11.19,9.1,10.43,16.44,93.15,49.32,6.85,6.85,0,0,0,1.37,5.48,0,8.22,17.81,12.33,2.74,2.74,1.37,16.44,4.11,1.37,0,1.37,6.85,1.37,0,1.37,0,0,0,19.18,0,2.74,4.11,2.74,6.85,0,0,1.37,4.11,1.37,0,5.48,2.74,2.74,0,12.33,0,4.11,0,10.96,4.11,4.11,0,0,0,0,1.37,9.59,0,16.44,4.11,8.22,4.11,0,10.96,0,0,0,0,0,0,0,0,0,0,16.44,8.22,5.48,0,1.37,0,0,0,0,1.37,0,0,35,30,1,"SAK",NA,73
47,"I see lots of people in the high school gym getting their yearbooks and having friends sign them. I remember seeing some friends around, but it seemed like I didn’t have enough, and I ended up asking people I didn’t know very well to sign my book.",25.34,19.75,99,66.07,23.5,10.64,91.49,53.19,19.15,17.02,12.77,0,0,0,4.26,2.13,2.13,12.77,8.51,6.38,6.38,4.26,25.53,2.13,2.13,0,0,4.26,2.13,2.13,0,0,0,0,14.89,0,4.26,0,0,17.02,6.38,0,0,6.38,0,6.38,4.26,4.26,0,0,0,0,0,0,0,10.64,4.26,0,4.26,2.13,0,10.64,6.38,0,10.64,0,8.51,2.13,4.26,4.26,0,0,0,0,2.13,0,0,0,2.13,0,12.77,4.26,4.26,0,0,0,0,0,0,4.26,0,0,48,0.22,-1,"SAK",NA,47
60,"I am standing in line for pizza in the high school cafeteria. I love pepperoni pizza, so that’s what I plan on getting. 2 girls are standing behind me that are seniors, and popular seniors at that. I overhear one of them saying that they wanted pepperoni too. When I get to the front of the line, I notice there is only one piece of pepperoni left. I wanted these girls to like me so I order cheese instead, so the girl behind me can have the last pepperoni. I turn around to tell them this (make it clear what I’ve done for her), but they don’t understand what I am talking about because I am not making any sense. I feel so stupid! & just walk off, embarrassed",15.61,31.84,93.14,39.87,14.11,14.17,92.91,59.84,24.41,16.54,12.6,0,0,0.79,3.15,7.87,3.94,12.6,9.45,9.45,6.3,1.57,21.26,3.15,0,3.15,2.36,1.57,3.94,2.36,1.57,0.79,0.79,0,11.81,0,0,3.15,0,11.02,3.15,2.36,1.57,0.79,0.79,2.36,3.94,0.79,1.57,0.79,3.94,0,0,0,3.15,6.3,0.79,0.79,3.15,1.57,0,3.15,15.75,0.79,14.17,1.57,8.66,3.15,2.36,0.79,0,0,0,0,0,0,0,0,0,0,15.75,5.51,4.72,0,0,0,0.79,0,0,2.36,1.57,0.79,79,-4.64,-1,"SAK",NA,129
83,"A GIRL IS LISTENING TO THIS KID’S CD PLAYER… SHE DROPS IT ON THE GROUND, COMPLETELY BREAKING IT IN HALF. ANGERED, HE GRABS HOLD OF HER SHOULDERS AND SHAKES HER IN A MOCK-CHOKING WAY. LATER THIS GIRL TELLS HER OLDER BROTHER’S FRIEND AN EXAGGERATED ACCOUNT OF THE STORY. HE FINDS THE KID, THROWS HIM UP AGAINST A LOCKER AND THREATENS TO BEAT HIM. FOR THE NEXT FEW DAYS, THE KID WHOSE CD PLAYER WAS BROKEN IS AFRAID TO COME TO SCHOOL. DESPITE APOLOGIZING TO THE GIRL, AND HER BROTHER, THE KID IS STILL HARASSED FOR WEEKS.",95.38,99,2.58,1,16.17,15.46,92.78,50.52,14.43,9.28,0,0,0,9.28,0,5.15,11.34,15.46,4.12,2.06,3.09,0,11.34,6.19,2.06,1.03,1.03,1.03,6.19,0,6.19,3.09,4.12,0,25.77,2.06,1.03,8.25,6.19,4.12,1.03,0,0,0,1.03,2.06,2.06,0,1.03,1.03,2.06,1.03,1.03,0,0,11.34,3.09,1.03,8.25,0,1.03,1.03,7.22,0,15.46,3.09,6.19,6.19,1.03,2.06,0,1.03,0,0,0,0,0,0,0,0,16.49,7.22,6.19,0,0,0,0,1.03,0,2.06,0,0,53,33.1,1,"SAK",NA,96
101,"it is dark but lit in Miami 2 kids are on a street corner next to a liquor store. They are going around asking people who might not care to buy them alcohol. Some people tell them no but one bum asks them for $5 to go in and buy a few 40’s and pick up their alcohol. When the bum came out the 2 kids followed him trying to be inconspicuous to an alley.",86.18,88.18,50.35,50.32,19,5.26,89.47,50,10.53,7.89,0,0,0,1.32,6.58,2.63,7.89,15.79,6.58,2.63,6.58,2.63,19.74,2.63,0,2.63,6.58,2.63,1.32,1.32,0,0,0,0,18.42,0,0,0,1.32,9.21,0,1.32,0,3.95,0,3.95,2.63,2.63,0,0,3.95,0,2.63,0,3.95,5.26,0,1.32,3.95,0,0,3.95,11.84,2.63,18.42,5.26,10.53,2.63,0,3.95,0,3.95,0,0,0,0,0,0,0,0,7.89,5.26,0,0,0,0,0,0,0,1.32,0,1.32,82,24.74,1,"SAK",NA,75
102,"At a party my senior year of high school, I remember feeling very awkward + out of place. Never a part of the “party/cool” crowd, my friends + I decided to go to this party as it was a big celebration for the senior class. Walking in the door, so many people turned + looked - + the amount of people who said, “ Oh my god look who’s here” was definitely an awkward… if not truly embarrassing… moment. I spent the rest of the party just milling around + talking with friends, but the comments as I came in the door left me feeling awkward + out of place for the rest of the party.",96.31,73.97,97.71,88.19,27.25,14.68,97.25,53.21,11.01,7.34,7.34,0,0,0,0,3.67,12.84,18.35,1.83,7.34,4.59,1.83,15.6,4.59,1.83,1.83,0,2.75,11.01,7.34,3.67,3.67,0,0,18.35,0,1.83,0,0,9.17,3.67,0,0.92,0.92,2.75,2.75,5.5,1.83,0.92,2.75,0,0,0,0,0,11.93,7.34,0.92,4.59,0,0,9.17,2.75,0,20.18,3.67,11.93,4.59,3.67,5.5,1.83,0.92,0.92,0,1.83,0,0,0.92,0.92,0,22.02,5.5,4.59,0,0,0,0,0.92,3.67,0.92,0,6.42,18,34.59,-1,"SAK",NA,116
114,"He walked into the classroom, dressed as a typical teenager but with his hat pulled down far over his eyes. He looked around the room, as if wondering what to do. Seeing the teacher, he approached him and handed him a slip of paper. The teacher read the note, signed it and returned it to the student. The student stood there paralyzed, until the teacher directed him to a seat. He said nothing, and made no eye contact with other students.",90.1,80.62,1.22,25.77,13.5,20.99,91.36,56.79,16.05,11.11,0,0,0,11.11,0,4.94,13.58,16.05,1.23,2.47,9.88,2.47,14.81,4.94,2.47,1.23,0,0,0,0,0,0,0,0,14.81,0,1.23,0,11.11,7.41,1.23,1.23,1.23,2.47,1.23,3.7,6.17,4.94,1.23,0,3.7,2.47,1.23,0,0,12.35,0,0,11.11,1.23,0,7.41,1.23,0,14.81,4.94,7.41,2.47,11.11,0,1.23,0,0,0,0,0,0,0,0,0,14.81,7.41,7.41,0,0,0,0,0,0,0,0,0,39,27.53,1,"SAK",NA,81
