writer_SubjectID,Story_No,Story_Content
18,1,J is sitting on the couch when a phone call comes in from mother in law. She states that she is done with living with her own mother. Hubby states that he will go and pick her up. J is wondering what is all going on since this is Christmas Eve. D leaves and picks up his mom. J is left at home wondering what is going on. Mother in law comes into the house and brings garbage bags full of clothes. Mother in law tells J that she is moving in and is taking the big bedroom. J is shocked because D never said or asked or told her that this was happening. J decides to try to figure this out and figure out if this is a good solution. 
65,2,"There are two young adults working during the late hours of the day, right before dusk. There is a man and a woman. They are stacking and cutting wood.  The woman is helping the man and listening to his instructions on what he needs her to do next. The man is operating a small chainsaw. He works quickly to eliminate the woodpile. The woman is moving bits and pieces of wood out of his way.  She steps a piece of wood that has a nail sticking out of it and goes through her shoe. The man appears to be upset by the woman's clumsiness and becomes angry. He throws the chainsaw down and the gas tank on it busts. He turns to the woman and starts calling her a dumbass."
133,3,"My husband and I got into an argument about our teenager, which is a constant occurrence anymore. But, this time was different. About an hour after we were bickering back and forth I finally just stopped. I didn't answer him nor did I say anything at all. He kept picking and picking trying to get me to say something but, I kept my cool and went on making dinner. I thought he was finally ready to give up as he started walking away. Then I heard those words that were so hurtful. Words he can't take back, ""I wish you would go to sleep and never wake up!"" I don't think I have stopped crying since I heard him say that to me. He denies saying it but, didn't realize one of our other children was in the room he was entering when he spoke that phrase. "
134,4,"I was in the car with my fiancé and it was dark. We were in a fight. He was taking my home from hanging out at his house that night as was our usual custom. It was fairly late. We were stopped at my apartment and somehow it came up that I was smothering him. These words hurt. I started crying. I tried to get out, but he didn't want me to leave upset. We continued to drive around the block to talk out what was happening. We didn't like to leave each other angry or upset at each other. It's important to us that we resolve the issue at hand so we don't harbor resentment for each other. He apologized. I was still upset, but was able to calm down. Eventually I went home after we had both calmed down and talked it out."
98,5,"My wife has a sister that travels a lot. She lives in Australia but is always somewhere in the world these days. She invited G to visit their sister who lives in London, England. I asked G if she really wanted to go and she said yes. I am not a traveler so I gave her the green light since she has never been there and hasn't seen any of her sisters for a number of years since she and I live in California. I had to take cash advances along with the small savings in order to buy the plane ticket and have enough money for her hotel, food and transportation. But I thought it was all worth it even though I felt angry that G decided to go during a time of lean finances for us both. I even had to get additional money for her while she was there because she ran out of money. But nevertheless I hunted around for that money and somehow found the money on my own through another cash advance credit card."
31,6,"The male and the female are watching TV together in bed. They are watching a reality TV show. The female asks the male, ""Why don't I have any talents like that?"" The male answers, ""Because you do not practice anything."" The female frowns and states, ""That's mean that you agree that I do not have any talents."" The male states, ""You do have talents like napping."" The female states, ""Wow you really think I have no talents."" The male states, ""No, that is not what I am saying. You have to practice something to become good at it."""
102,7,"My daughter and I are arguing.  It is getting heated.  I am getting very upset, too upset.  My husband steps in.  He tries to calm her down, but also speaks for me - J, mommy is trying to say X.  This infuriates me and escalates the situation.  I get more and more upset and start storming around, increasing my daughter's level of upset as well.  She gets scared, starts crying and runs into her room and locks the door.  Now my husband and I are fighting, yelling at one another and further escalating the situation.  Then I get worried about my daughter.  I knock on her door and try to talk with her, but she will not respond or open the door."
78,8,"My partner and I occasionally have disagreements about the way I approach social situations.  I am a somewhat unusual person, I was an only child of a navy family and I don't always approach situations from what my partner describes as an 'normal' perspective.  I can take issue with this, as I feel like what 'normal' is actually varies greatly from person to person.  Regardless, the image in my mind is of my partner visibly frustrated in our kitchen trying to explain to me what 'normal' social expectations are and getting more and more irritated by my different lived experience about these items.  It's not really an enjoyable discussion because they are conveying frustration with me, but I don't know how else to address the problem."
54,9,Bowling came before her. They had plans and he chose to go bowling instead. She was angry that a sport came before her you could see it on her face. He was surprised that she was angry.
60,10,We were fighting over secret credit cards and having too much credit out. He doesn't want me to have any credit cards because we run up too much credit and don't pay it off soon enough.
